image_id,image_name,image_path,model_id,step_id,view_angle,is_error,error_type,schema_error_type,error_detail,evaluation_scope,source_split,raw_label,filename_valid,inventory_filename_valid,inventory_validation_errors,duplicate_group_id,sha256
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_back_01.jpg,model08_step05_criticalerror-A01_back_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_back_01.jpg,model08,step05,back,true,criticalerror,criticalerror,A01,in_scope,input,criticalerror,true,false,unknown_label,,7ba0815bb9286a5ac6e450e6259b13f9568fcf0e3efd7ccf58236fdaa6dfae93
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_bottom_01.jpg,model08_step05_criticalerror-A01_bottom_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_bottom_01.jpg,model08,step05,bottom,true,criticalerror,criticalerror,A01,in_scope,input,criticalerror,true,false,unknown_label,,ac177846b6abe8580bf227c9e33746ec2ca406436957154e04028a69ba3995ba
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_front_01.jpg,model08_step05_criticalerror-A01_front_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_front_01.jpg,model08,step05,front,true,criticalerror,criticalerror,A01,in_scope,input,criticalerror,true,false,unknown_label,,2fd275e79578e716d8426dba720d81cb615ad965c7bee951b5882e520ecb0302
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_left_01.jpg,model08_step05_criticalerror-A01_left_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_left_01.jpg,model08,step05,left,true,criticalerror,criticalerror,A01,in_scope,input,criticalerror,true,false,unknown_label,,2338dab543fe011e1467166117eac44958b941fb6ba6d0972c4e65b8a80aa916
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_right_01.jpg,model08_step05_criticalerror-A01_right_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_right_01.jpg,model08,step05,right,true,criticalerror,criticalerror,A01,in_scope,input,criticalerror,true,false,unknown_label,,9ee996520135f74c2f4104ad901f2d2a20479e2bcf6003cd8650a2390f2f9c08
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_top_01.jpg,model08_step05_criticalerror-A01_top_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_top_01.jpg,model08,step05,top,true,criticalerror,criticalerror,A01,in_scope,input,criticalerror,true,false,unknown_label,,94c194bf6e87c4787858728e1b206867bd0e88b5245e4888e8d8de2f8a85e0cc
input/extrapart/model03_step03/model03_step03_extrapart-A01_back_01.jpg,model03_step03_extrapart-A01_back_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_back_01.jpg,model03,step03,back,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,f3f71acdb46972a8184156f35cb420141fe66e0b223382e0236f9861bcdc457a
input/extrapart/model03_step03/model03_step03_extrapart-A01_bottom_01.jpg,model03_step03_extrapart-A01_bottom_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_bottom_01.jpg,model03,step03,bottom,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,7091b59f10313340434d8181c2cefbcbccce1af9225d908d861d6193a2a88c07
input/extrapart/model03_step03/model03_step03_extrapart-A01_front_01.jpg,model03_step03_extrapart-A01_front_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_front_01.jpg,model03,step03,front,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,5ea0cb09a10420795f1384876455eb6695534475bc7a72ae10aa61639a79c8c9
input/extrapart/model03_step03/model03_step03_extrapart-A01_left_01.jpg,model03_step03_extrapart-A01_left_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_left_01.jpg,model03,step03,left,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,dup_0009,bd15592e73a479211a84b6fbfdd01ff53f4f449a8861c4bd6682c5956fe73c0b
input/extrapart/model03_step03/model03_step03_extrapart-A01_right_01.jpg,model03_step03_extrapart-A01_right_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_right_01.jpg,model03,step03,right,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,dd5f3b6292266cb609300b0ec9b5cca29a6eb2f0eeaad10845a7d2149286f2a0
input/extrapart/model03_step03/model03_step03_extrapart-A01_top_01.jpg,model03_step03_extrapart-A01_top_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_top_01.jpg,model03,step03,top,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,d6b6ae32ab4acb8a8e6629f4b60409e486b7c0132c1d0d539221e785c55e46c0
input/extrapart/model08_step05/model08_step05_extrapart-A01_back_01.jpg,model08_step05_extrapart-A01_back_01.jpg,input/extrapart/model08_step05/model08_step05_extrapart-A01_back_01.jpg,model08,step05,back,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,5f9d88684bda55b1997a3ee7b176c68bded75a135459f6e03d556ed5b168ea33
input/extrapart/model08_step05/model08_step05_extrapart-A01_bottom_01.jpg,model08_step05_extrapart-A01_bottom_01.jpg,input/extrapart/model08_step05/model08_step05_extrapart-A01_bottom_01.jpg,model08,step05,bottom,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,3f0a6fed48a7adf7fe36f9ec6b71b57cb358e9c901f8bebf6722ca8ceccde743
input/extrapart/model08_step05/model08_step05_extrapart-A01_bottom_02.jpg,model08_step05_extrapart-A01_bottom_02.jpg,input/extrapart/model08_step05/model08_step05_extrapart-A01_bottom_02.jpg,model08,step05,bottom,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,b398fec0f7ca9e7563b5598bacb06d25cb5d53575d897974d78b97ffa9ee5d7f
input/extrapart/model08_step05/model08_step05_extrapart-A01_front_01.jpg,model08_step05_extrapart-A01_front_01.jpg,input/extrapart/model08_step05/model08_step05_extrapart-A01_front_01.jpg,model08,step05,front,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,34bbc85cb86598d8c03d0996fae288de499ae444c42b47240898fda92b3a67d9
input/extrapart/model08_step05/model08_step05_extrapart-A01_left_01.jpg,model08_step05_extrapart-A01_left_01.jpg,input/extrapart/model08_step05/model08_step05_extrapart-A01_left_01.jpg,model08,step05,left,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,9ed7245d50dcb170a5f52089d56953c04ea49a03739de5d899587a7545d2f75f
input/extrapart/model08_step05/model08_step05_extrapart-A01_right_01.jpg,model08_step05_extrapart-A01_right_01.jpg,input/extrapart/model08_step05/model08_step05_extrapart-A01_right_01.jpg,model08,step05,right,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,784e4e7ace0a3afa566bfec0a4deff6425d6556a4eca6cd871cb4d39924bba5a
input/extrapart/model08_step05/model08_step05_extrapart-A01_right_02.jpg,model08_step05_extrapart-A01_right_02.jpg,input/extrapart/model08_step05/model08_step05_extrapart-A01_right_02.jpg,model08,step05,right,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,3996a8d702e68fb9b3ec4eb1963caba7b7e00afccfe641ba52844d4c805d99ad
input/extrapart/model08_step05/model08_step05_extrapart-A01_top_01.jpg,model08_step05_extrapart-A01_top_01.jpg,input/extrapart/model08_step05/model08_step05_extrapart-A01_top_01.jpg,model08,step05,top,true,extra,extrapart,A01,in_scope,input,extrapart,true,true,,,796bc55a52201f0751f4735c72df26b69fe35bedf4e0dec36ea9c5167b8eeacf
input/missingpart/model03_step03/model03_step03_missingpart-A01_back_01.jpg,model03_step03_missingpart-A01_back_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_back_01.jpg,model03,step03,back,true,missing,missingpart,A01,in_scope,input,missingpart,true,true,,,2f23be5c446bab198fd5a0ddfeac61c682a93374960d8f301d74ebabf2bc73ba
input/missingpart/model03_step03/model03_step03_missingpart-A01_back_02.jpg,model03_step03_missingpart-A01_back_02.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_back_02.jpg,model03,step03,back,true,missing,missingpart,A01,in_scope,input,missingpart,true,true,,,a8a4cf2718fc3b8d16bbd7ec76a2d9921fad5e0f38fbc0bdecba56c5d87b0c6c
input/missingpart/model03_step03/model03_step03_missingpart-A01_bottom_01.jpg,model03_step03_missingpart-A01_bottom_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_bottom_01.jpg,model03,step03,bottom,true,missing,missingpart,A01,in_scope,input,missingpart,true,true,,,9b554bd697f2742f099fe70086458ae0e50fc1c3a7841b0ecce1abb219f287a0
input/missingpart/model03_step03/model03_step03_missingpart-A01_front_01.jpg,model03_step03_missingpart-A01_front_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_front_01.jpg,model03,step03,front,true,missing,missingpart,A01,in_scope,input,missingpart,true,true,,,089fd4cd95e41995c73c2309e7a6c662b9471275d0f49e62440da4b2d8731de4
input/missingpart/model03_step03/model03_step03_missingpart-A01_left_01.jpg,model03_step03_missingpart-A01_left_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_left_01.jpg,model03,step03,left,true,missing,missingpart,A01,in_scope,input,missingpart,true,true,,,376dd17773fece707a951237abe5377072a232ac0a50ee8e5c0ab7a7135988a3
input/missingpart/model03_step03/model03_step03_missingpart-A01_right_01.jpg,model03_step03_missingpart-A01_right_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_right_01.jpg,model03,step03,right,true,missing,missingpart,A01,in_scope,input,missingpart,true,true,,,8a50b977845635ffa1cdcd6389321b95d617f806f1a1601082669197214a6b6b
input/missingpart/model03_step03/model03_step03_missingpart-A01_top_01.jpg,model03_step03_missingpart-A01_top_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_top_01.jpg,model03,step03,top,true,missing,missingpart,A01,in_scope,input,missingpart,true,true,,,6f3d578e60f1cd6df5d03817bf03bf71921d65900e475620478e162e24dc6ff0
input/missingpart/model03_step03/model03_step03_missingpart-A01_top_02.jpg,model03_step03_missingpart-A01_top_02.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_top_02.jpg,model03,step03,top,true,missing,missingpart,A01,in_scope,input,missingpart,true,true,,,10013d2fc19c48edaa916a3895f042bc6841fb8c12b3f31bf494abe46bfe246c
input/missingpart/model03_step03/model03_step03_missingpart-B01_back_01.jpg,model03_step03_missingpart-B01_back_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_back_01.jpg,model03,step03,back,true,missing,missingpart,B01,in_scope,input,missingpart,true,true,,,4aa3e4102c28f1d66098b5e68187ad125a51b5830e94863729958fecadfa97e1
input/missingpart/model03_step03/model03_step03_missingpart-B01_back_02.jpg,model03_step03_missingpart-B01_back_02.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_back_02.jpg,model03,step03,back,true,missing,missingpart,B01,in_scope,input,missingpart,true,true,,dup_0002,1e11e43af3f67650932675799c2e0ad21c1ded001863a96193722688556fdc7f
