image_name,model_id,step_id,view_angle,expected_error_type,variant_id
model03_step03_wrongpart-A01_back_01.jpg,model03,step03,back,wrongpart,A01
model03_step03_wrongpart-A01_back_02.jpg,model03,step03,back,wrongpart,A01
model03_step03_wrongpart-A01_bottom_01.jpg,model03,step03,bottom,wrongpart,A01
model03_step03_wrongpart-A01_front_01.jpg,model03,step03,front,wrongpart,A01
model03_step03_wrongpart-A01_left_01.jpg,model03,step03,left,wrongpart,A01
model03_step03_wrongpart-A01_right_01.jpg,model03,step03,right,wrongpart,A01
model03_step03_wrongpart-A01_top_01.jpg,model03,step03,top,wrongpart,A01
model03_step03_wrongpart-A01_top_02.jpg,model03,step03,top,wrongpart,A01
model03_step03_wrongpart-B01_back_01.jpg,model03,step03,back,wrongpart,B01
model03_step03_wrongpart-B01_back_02.jpg,model03,step03,back,wrongpart,B01
model03_step03_wrongpart-B01_bottom_01.jpg,model03,step03,bottom,wrongpart,B01
model03_step03_wrongpart-B01_front_01.jpg,model03,step03,front,wrongpart,B01
model03_step03_wrongpart-B01_left_01.jpg,model03,step03,left,wrongpart,B01
model03_step03_wrongpart-B01_right_01.jpg,model03,step03,right,wrongpart,B01
model03_step03_wrongpart-B01_top_01.jpg,model03,step03,top,wrongpart,B01
model03_step03_wrongpart-B01_top_02.jpg,model03,step03,top,wrongpart,B01
model08_step05_wrongpart-A01_back_01.jpg,model08,step05,back,wrongpart,A01
model08_step05_wrongpart-A01_bottom_01.jpg,model08,step05,bottom,wrongpart,A01
model08_step05_wrongpart-A01_front_01.jpg,model08,step05,front,wrongpart,A01
model08_step05_wrongpart-A01_left_01.jpg,model08,step05,left,wrongpart,A01
model08_step05_wrongpart-A01_right_01.jpg,model08,step05,right,wrongpart,A01
model08_step05_wrongpart-A01_top_01.jpg,model08,step05,top,wrongpart,A01
model08_step05_positionerror-B01_back_01.jpg,model08,step05,back,positionerror,B01
model08_step05_positionerror-B01_bottom_01.jpg,model08,step05,bottom,positionerror,B01
model08_step05_positionerror-B01_front_01.jpg,model08,step05,front,positionerror,B01
model08_step05_positionerror-B01_left_01.jpg,model08,step05,left,positionerror,B01
model08_step05_positionerror-B01_right_01.jpg,model08,step05,right,positionerror,B01
model08_step05_positionerror-B01_top_01.jpg,model08,step05,top,positionerror,B01
model08_step05_positionerror-D01_back_01.jpg,model08,step05,back,positionerror,D01
model08_step05_positionerror-D01_bottom_01.jpg,model08,step05,bottom,positionerror,D01
model08_step05_positionerror-D01_front_01.jpg,model08,step05,front,positionerror,D01
model08_step05_positionerror-D01_left_01.jpg,model08,step05,left,positionerror,D01
model08_step05_positionerror-D01_right_01.jpg,model08,step05,right,positionerror,D01
model08_step05_positionerror-D01_top_01.jpg,model08,step05,top,positionerror,D01
model03_step01_correct-01_back_01.jpg,model03,step01,back,correct,01
model03_step01_correct-01_bottom_01.jpg,model03,step01,bottom,correct,01
model03_step01_correct-01_front_01.jpg,model03,step01,front,correct,01
model03_step01_correct-01_left_01.jpg,model03,step01,left,correct,01
model03_step01_correct-01_right_01.jpg,model03,step01,right,correct,01
model03_step01_correct-01_top_01.jpg,model03,step01,top,correct,01
